GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,DSN001,DSN002
"G3200030","1980","4","8","Nevada","32","4120","Clark","003",,,,,,,,,"CLARK COUNTY",142897,6326
"G3200050","1980","4","8","Nevada","32",,"Douglas","005",,,,,,,,,"DOUGLAS COUNTY",6278,174
"G3200070","1980","4","8","Nevada","32",,"Elko","007",,,,,,,,,"ELKO COUNTY",5514,269
"G3200090","1980","4","8","Nevada","32",,"Esmeralda","009",,,,,,,,,"ESMERALDA COUNTY",44,0
"G3200110","1980","4","8","Nevada","32",,"Eureka","011",,,,,,,,,"EUREKA COUNTY",291,0
"G3200130","1980","4","8","Nevada","32",,"Humboldt","013",,,,,,,,,"HUMBOLDT COUNTY",2920,114
"G3200150","1980","4","8","Nevada","32",,"Lander","015",,,,,,,,,"LANDER COUNTY",1255,45
"G3200170","1980","4","8","Nevada","32",,"Lincoln","017",,,,,,,,,"LINCOLN COUNTY",973,39
"G3200190","1980","4","8","Nevada","32",,"Lyon","019",,,,,,,,,"LYON COUNTY",4202,199
"G3200210","1980","4","8","Nevada","32",,"Mineral","021",,,,,,,,,"MINERAL COUNTY",1562,98
"G3200230","1980","4","8","Nevada","32",,"Nye","023",,,,,,,,,"NYE COUNTY",2283,128
"G3200270","1980","4","8","Nevada","32",,"Pershing","027",,,,,,,,,"PERSHING COUNTY",898,70
"G3200290","1980","4","8","Nevada","32",,"Storey","029",,,,,,,,,"STOREY COUNTY",523,14
"G3200310","1980","4","8","Nevada","32","6720","Washoe","031",,,,,,,,,"WASHOE COUNTY",65924,1944
"G3200330","1980","4","8","Nevada","32",,"White Pine","033",,,,,,,,,"WHITE PINE COUNTY",2251,111
"G3205100","1980","4","8","Nevada","32",,"Carson City","510",,,,,,,,,"CARSON CITY",10608,335
"G3300010","1980","1","1","New Hampshire","33",,"Belknap","001",,,,,,,,,"BELKNAP COUNTY",12823,695
"G3300030","1980","1","1","New Hampshire","33",,"Carroll","003",,,,,,,,,"CARROLL COUNTY",8900,358
"G3300050","1980","1","1","New Hampshire","33",,"Cheshire","005",,,,,,,,,"CHESHIRE COUNTY",17979,927
"G3300070","1980","1","1","New Hampshire","33",,"Coos","007",,,,,,,,,"COOS COUNTY",10515,776
"G3300090","1980","1","1","New Hampshire","33",,"Grafton","009",,,,,,,,,"GRAFTON COUNTY",19395,957
"G3300110","1980","1","1","New Hampshire","33",,"Hillsborough","011",,,,,,,,,"HILLSBOROUGH COUNTY",76290,3542
"G3300130","1980","1","1","New Hampshire","33",,"Merrimack","013",,,,,,,,,"MERRIMACK COUNTY",28629,1449
"G3300150","1980","1","1","New Hampshire","33",,"Rockingham","015",,,,,,,,,"ROCKINGHAM COUNTY",53711,1957
"G3300170","1980","1","1","New Hampshire","33",,"Strafford","017",,,,,,,,,"STRAFFORD COUNTY",24090,1343
"G3300190","1980","1","1","New Hampshire","33",,"Sullivan","019",,,,,,,,,"SULLIVAN COUNTY",10489,671
"G3400010","1980","1","2","New Jersey","34","0560","Atlantic","001",,,,,,,,,"ATLANTIC COUNTY",52734,4704
"G3400030","1980","1","2","New Jersey","34","5600","Bergen","003",,,,"70",,,,,"BERGEN COUNTY",262291,8565
"G3400050","1980","1","2","New Jersey","34","6160","Burlington","005",,,,"77",,,,,"BURLINGTON COUNTY",97743,4985
"G3400070","1980","1","2","New Jersey","34","6160","Camden","007",,,,"77",,,,,"CAMDEN COUNTY",134647,13324
"G3400090","1980","1","2","New Jersey","34",,"Cape May","009",,,,,,,,,"CAPE MAY COUNTY",26315,1554
"G3400110","1980","1","2","New Jersey","34","8760","Cumberland","011",,,,,,,,,"CUMBERLAND COUNTY",35273,4252
"G3400130","1980","1","2","New Jersey","34","5640","Essex","013",,,,"70",,,,,"ESSEX COUNTY",216088,31664
"G3400150","1980","1","2","New Jersey","34","6160","Gloucester","015",,,,"77",,,,,"GLOUCESTER COUNTY",54129,3543
"G3400170","1980","1","2","New Jersey","34","3640","Hudson","017",,,,"70",,,,,"HUDSON COUNTY",159428,19648
"G3400190","1980","1","2","New Jersey","34",,"Hunterdon","019",,,,,,,,,"HUNTERDON COUNTY",24634,875
"G3400210","1980","1","2","New Jersey","34","8480","Mercer","021",,,,"77",,,,,"MERCER COUNTY",85280,6688
"G3400230","1980","1","2","New Jersey","34","5460","Middlesex","023",,,,"70",,,,,"MIDDLESEX COUNTY",163433,8119
"G3400250","1980","1","2","New Jersey","34","4410","Monmouth","025",,,,"70",,,,,"MONMOUTH COUNTY",141732,8828
